,DATA,HORA,Barreto_ws10,Barreto_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10
0,20211018,1,1.9972,95.6974,1.89996,87.9734,2.31042,99.3014,2.55651,96.6282,1.78704,95.7268,2.8537,100.251,2.34351,89.0321,2.04653,97.2244,1.75998,89.5573
1,20211018,2,1.8924,111.171,1.69667,108.895,1.9566,110.781,2.47194,110.397,1.38575,110.77,2.40736,109.262,2.35757,109.477,1.61835,109.818,0.927666,107.967
2,20211018,3,1.98663,103.047,2.01777,96.2696,1.90721,109.696,2.52932,99.8555,1.74947,106.638,2.31589,104.824,2.55084,96.1336,1.82298,110.457,1.75033,99.38
3,20211018,4,1.40396,105.121,1.56023,99.7596,1.38748,106.979,2.0241,99.0955,1.22878,108.202,1.78894,103.748,2.13549,96.077,1.32662,104.875,1.34632,103.521
4,20211018,5,1.00149,130.734,0.879439,119.695,1.21729,128.82,1.57152,114.856,1.02847,131.367,1.55353,120.253,1.43516,106.241,1.29868,124.681,0.853374,123.864
5,20211018,6,2.24937,117.9,2.03371,115.762,2.35336,115.447,2.58112,116.274,2.11718,117.321,2.53028,115.036,2.37365,113.628,2.27097,114.166,1.92923,117.485
6,20211018,7,2.42383,110.219,2.15636,107.375,2.50218,109.427,2.91967,108.818,2.19742,109.546,2.87299,108.087,2.59923,106.481,2.29765,107.744,2.02642,108.089
7,20211018,8,2.1059,121.657,1.72999,118.043,2.33994,121.646,2.74845,118.159,1.81121,124.285,2.8327,118.422,2.27199,115.398,2.02675,123.05,1.58475,122.644
8,20211018,9,2.61744,116.844,2.49861,115.463,2.5544,115.197,3.01143,115.535,2.36102,116.406,2.87891,114.139,2.8608,114.57,2.23995,114.075,2.33545,116.683
9,20211018,10,2.64917,101.729,2.29904,97.1972,2.88013,102.058,3.10897,102.54,2.37727,100.608,3.23557,102.741,2.71694,98.5082,2.58722,99.918,2.10954,97.4935
10,20211018,11,1.9972,95.6974,1.89996,87.9734,2.31042,99.3014,2.55651,96.6282,1.78704,95.7268,2.8537,100.251,2.34351,89.0321,2.04653,97.2244,1.75998,89.5573
11,20211018,12,2.46794,104.475,2.04521,100.962,2.75784,103.712,2.87814,104.171,2.24761,104.747,3.06873,104.245,2.44932,100.109,2.52275,102.702,1.85856,102.422
12,20211018,13,2.70779,107.076,2.24388,105.887,3.02568,105.927,3.11245,106.59,2.52795,107.419,3.37363,105.968,2.63174,105.124,2.80584,105.388,2.09923,107.352
13,20211018,14,2.51844,107.139,2.23708,104.252,2.80994,107.259,2.90692,105.657,2.40004,108.447,3.17067,107.219,2.5689,102.417,2.65919,106.475,2.13123,106.735
14,20211018,15,2.74892,104.526,2.50361,99.062,3.05415,104.085,3.00908,104.017,2.65569,104.165,3.27661,105.115,2.79847,98.9391,2.97579,102.604,2.37567,98.6462
15,20211018,16,3.19284,111.7,2.96506,117.531,3.34489,110.175,3.50887,112.172,3.07851,111.465,3.78898,113.164,3.17463,114.709,3.06456,106.843,2.87233,119.043
16,20211018,17,5.0714,113.191,4.92747,115.693,5.01893,110.415,5.38001,113.557,4.81381,113.011,5.28174,110.67,5.29432,116.422,4.77261,110.19,4.65218,115.356
17,20211018,18,6.29724,115.991,6.09596,117.821,6.27156,113.202,6.52384,116.108,6.04863,115.164,6.4497,113.614,6.42545,117.968,6.05491,112.596,5.84994,117.779
18,20211018,19,6.28255,113.218,5.93361,112.854,6.52236,112.369,6.66922,113.325,5.94367,112.686,6.79029,112.637,6.36761,113.537,6.19331,111.604,5.6264,112.814
19,20211018,20,6.82873,113.841,6.51057,114.136,7.01612,112.169,7.1966,113.76,6.44616,113.853,7.26008,112.203,6.92232,114.595,6.65533,111.802,6.14262,114.733
20,20211018,21,7.0047,112.827,6.62379,112.351,7.29592,111.906,7.43672,111.956,6.50525,113.493,7.54431,111.276,7.13661,112.158,6.88705,111.911,6.07631,113.87
21,20211018,22,6.91792,109.018,6.63209,107.911,7.05132,108.877,7.27438,109.275,6.19431,108.874,7.19923,108.471,7.04835,109.319,6.54942,108.686,5.84276,107.967
22,20211018,23,5.89655,106.919,5.47243,103.764,6.34616,108.294,6.67113,106.653,4.62833,107.228,6.80592,107.498,6.3998,104.633,5.28825,108.193,4.13249,104.822
23,20211018,24,4.28006,173.146,4.46254,179.421,4.04755,167.674,4.7906,169.319,3.86114,173.019,4.41115,164.589,4.84835,173.623,3.84227,166.496,4.17996,180.454
