,DATA,HORA,Barreto_ws10,Barreto_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10
0,20211008,1,1.73216,97.1358,1.80511,88.2041,1.78395,101.338,1.73941,83.6029,1.77224,108.465,1.77662,93.2333,1.80038,76.3199,1.70237,106.076,1.81405,100.588
1,20211008,2,4.84287,184.478,4.81233,185.012,4.77391,184.469,4.75123,185.19,4.86299,183.651,4.59017,184.857,4.74624,186.269,4.94598,183.994,4.80772,183.829
2,20211008,3,5.26307,167.782,5.15611,169.101,5.25796,166.639,5.44167,167.33,5.14228,168.181,5.34375,166.151,5.31463,168.83,5.23229,167.301,5.09599,169.336
3,20211008,4,4.69232,165.078,4.62369,166.172,4.63285,164.064,4.86268,165.069,4.57828,165.351,4.74917,163.553,4.76279,166.715,4.59191,165.163,4.53878,165.827
4,20211008,5,3.64885,159.11,3.41341,159.557,3.84177,159.316,3.85541,158.805,3.52018,159.857,3.97953,158.06,3.57846,160.029,3.8197,161.146,3.30349,159.416
5,20211008,6,3.43981,149.432,3.23677,149.457,3.54424,149.123,3.52607,147.698,3.2909,149.585,3.58505,147.311,3.29582,147.362,3.40877,150.231,3.16778,149.627
6,20211008,7,2.92979,150.227,2.73841,149.214,3.07077,150.319,2.93488,148.492,2.86416,149.395,3.09246,149.163,2.67527,146.593,2.96742,150.47,2.78114,148.874
7,20211008,8,2.96104,144.328,2.82273,143.496,3.07937,145.12,3.14438,142.805,2.88042,146.328,3.12563,142.174,3.03183,143.605,3.02257,146.81,2.73264,144.961
8,20211008,9,2.18337,141.845,2.13114,140.953,2.22232,143.801,2.30777,141.295,2.06807,143.346,2.28805,140.533,2.18572,141.708,2.17221,146.687,2.01556,140.283
9,20211008,10,1.76529,121.037,1.61761,119.049,1.84861,119.409,1.66443,118.555,1.80195,118.494,1.74511,118.899,1.57886,112.625,1.80462,120.248,1.74983,118.717
10,20211008,11,1.73216,97.1358,1.80511,88.2041,1.78395,101.338,1.73941,83.6029,1.77224,108.465,1.77662,93.2333,1.80038,76.3199,1.70237,106.076,1.81405,100.588
11,20211008,12,1.52405,51.9736,1.60604,49.8019,1.4104,62.1914,1.56018,55.8582,1.58245,50.2787,1.45386,63.6427,1.63582,50.1586,1.48729,58.1219,1.65521,51.0151
12,20211008,13,1.2797,42.9828,1.54577,41.194,1.16454,75.5353,1.32077,62.2368,1.43725,33.2799,1.25511,84.1372,1.63576,44.1626,1.08005,47.7082,1.31817,34.4358
13,20211008,14,1.7362,173.908,1.74839,228.068,2.44323,148.416,2.38558,153.768,1.58894,213.713,2.21435,151.606,1.86027,193.683,1.83206,163.316,1.76976,236.472
14,20211008,15,2.19191,162.873,2.1583,169.375,2.22716,152.905,2.6196,152.665,2.06373,154.947,2.66864,148.121,2.32373,155.193,1.92206,153.064,2.08538,160.379
15,20211008,16,3.55497,153.129,3.4729,156.906,3.74359,151.095,3.61865,154.142,3.37696,153.642,3.75394,152.382,3.46307,156.022,3.58512,156.471,3.33981,152.868
16,20211008,17,4.2258,151.21,3.98781,150.356,4.39671,150.995,4.12844,146.676,4.17837,154.145,4.32023,148.827,3.92711,143.931,4.28299,155.708,4.15108,153.841
17,20211008,18,4.7619,146.104,4.54929,145.893,4.92305,145.271,4.80865,143.784,4.71157,146.084,4.86598,143.894,4.6662,142.983,4.78724,146.517,4.65069,146.922
18,20211008,19,5.19171,143.561,4.98611,142.986,5.31147,143.259,5.33897,140.655,5.14816,143.957,5.31396,141.078,5.24095,140.557,5.22458,143.145,5.00161,144.998
19,20211008,20,5.2486,133.298,5.15358,132.944,5.27225,133.522,5.44301,131.957,5.13395,135.158,5.3587,131.659,5.40746,131.872,5.23956,135.245,5.01533,134.658
20,20211008,21,4.76602,125.131,4.67635,123.216,4.84944,126.437,4.96944,122.813,4.65502,126.552,4.82386,124.006,5.03586,122.159,4.83757,127.307,4.45628,124.836
21,20211008,22,4.6514,115.757,4.52821,118.045,4.46753,112.515,4.83809,116.625,4.48231,114.03,4.69213,112.941,4.70043,118.479,4.21762,112.626,4.44474,116.921
22,20211008,23,4.19211,114.549,4.09694,114.263,4.2634,113.778,4.46467,114.568,4.05477,113.18,4.46993,114.355,4.36501,114.456,4.06567,112.259,3.99014,113.902
23,20211008,24,4.11738,109.915,3.79509,109.741,4.22188,108.185,4.24158,109.78,4.06845,109.191,4.27891,108.436,3.83469,109.093,4.18679,106.867,3.83844,109.788
24,20211008,25,3.34914,103.708,3.22798,100.816,3.47893,104.462,3.61114,102.284,3.27097,104.146,3.60396,103.74,3.45136,99.6674,3.48812,103.385,3.13867,101.919
25,20211008,26,3.31597,101.74,3.27143,96.2341,3.35456,106.139,3.62018,100.915,3.2046,101.404,3.53816,106.136,3.50488,95.6261,3.30177,104.226,3.17742,96.7246
26,20211008,27,3.58745,101.346,3.37353,97.8608,3.68607,103.138,3.93809,101.082,3.38803,100.778,3.97041,102.729,3.65757,97.703,3.50387,102.108,3.20058,98.1427
27,20211008,28,3.19012,91.4868,3.00099,89.1875,3.28476,95.713,3.48897,91.6506,3.0483,91.2604,3.53418,95.6238,3.19597,89.389,3.16823,94.711,2.91275,89.6578
28,20211008,29,2.58206,90.4713,2.38553,87.8375,2.77894,96.9647,2.89818,90.8204,2.45658,90.4165,3.04758,96.5222,2.5881,87.8599,2.66897,96.3271,2.3179,88.6772
29,20211008,30,2.31991,89.2591,2.30195,88.6346,2.5469,96.3349,2.66558,89.9621,2.16055,88.4635,2.83539,95.659,2.5101,89.5085,2.40736,95.6693,2.21311,88.6264
30,20211008,31,2.18421,89.3752,2.1919,86.7571,2.24406,97.7594,2.49001,90.0292,2.04998,88.5108,2.49189,97.7242,2.39324,87.5003,2.13891,95.9765,2.10175,87.1054
