,DATA,HORA,Barreto_ws10,Barreto_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10
0,20210830,1,2.4179,61.0867,2.28795,61.7328,2.24441,60.728,2.72924,64.2535,2.23877,59.6574,2.52047,63.7318,2.54934,65.1256,2.20387,60.0616,2.06667,58.6356
1,20210830,2,2.8135,102.105,2.80576,98.6923,3.04023,102.573,3.28208,101.719,2.46132,102.602,3.29141,102.422,3.24047,99.8675,2.81742,101.894,2.48932,98.6465
2,20210830,3,2.98551,103.023,3.0665,98.6114,3.08524,106.067,3.62289,100.201,2.50319,105.8,3.39664,103.379,3.69403,98.0574,2.80332,107.329,2.56828,99.9812
3,20210830,4,2.65854,104.686,2.68716,99.7188,2.87855,105.438,3.44855,103.043,2.22896,105.59,3.33746,103.542,3.44506,101.264,2.58851,104.976,2.11138,99.843
4,20210830,5,2.67905,92.2846,2.64748,86.6511,2.94766,97.2782,3.38028,93.7645,2.06334,89.1569,3.2702,96.4709,3.24323,90.6189,2.46577,95.1322,2.14223,83.0826
5,20210830,6,2.89285,105.474,2.93726,102.433,2.87117,105.92,3.39628,103.557,2.50284,106.818,3.04554,105.349,3.49808,101.617,2.65478,104.565,2.4796,104.429
6,20210830,7,2.42894,100.135,2.45891,96.2867,2.77693,103.307,2.64144,99.4875,2.31405,100.839,2.8824,102.733,2.64785,95.0939,2.45122,103.27,2.3635,97.7617
7,20210830,8,2.47585,100.969,2.98781,98.251,2.09079,103.607,2.98753,97.9766,2.274,100.909,2.36932,100.137,3.30598,98.0262,2.04691,102.348,2.53959,99.9229
8,20210830,9,1.97316,85.7838,1.98757,72.5301,1.92217,95.8527,2.70208,89.6411,1.47081,80.8817,2.44305,97.5351,2.4471,78.1283,1.70771,92.3943,1.82315,69.2922
9,20210830,10,2.40687,75.5597,1.60672,68.3018,2.10373,78.9871,2.8879,78.9499,1.96631,72.1189,2.55566,81.4652,2.15369,74.5891,1.86743,75.436,1.32626,62.3979
10,20210830,11,2.4179,61.0867,2.28795,61.7328,2.24441,60.728,2.72924,64.2535,2.23877,59.6574,2.52047,63.7318,2.54934,65.1256,2.20387,60.0616,2.06667,58.6356
11,20210830,12,2.39011,63.5635,2.41138,63.2191,2.28084,67.429,2.79188,66.1522,2.21539,63.5482,2.59009,70.3896,2.73227,63.533,2.20362,64.8898,2.25529,65.2644
12,20210830,13,2.33049,106.435,1.806,96.6934,2.82646,99.8477,2.61081,103.459,2.19328,109.176,2.98605,97.4563,2.10713,96.0767,2.72501,101.438,1.69756,98.6037
13,20210830,14,2.85243,142.816,2.69718,146.72,2.96597,137.108,3.12776,140.749,3.06624,139.386,3.13091,139.458,2.76274,146.61,2.85386,129.199,2.98158,148.668
14,20210830,15,4.58648,146.853,4.32768,149.06,4.74435,145.619,4.84024,142.405,4.40229,147.197,4.88268,142.862,4.71495,143.233,4.61169,144.21,4.19663,151.263
15,20210830,16,5.23788,142.005,5.19451,140.505,5.3985,144.62,5.41594,139.904,5.35567,145.216,5.25874,140.573,5.43092,141.942,5.5415,143.843,5.11259,143.538
16,20210830,17,5.4242,141.996,5.2921,142.512,5.5142,141.114,5.61952,140.525,5.3893,142.905,5.56757,139.335,5.48697,140.977,5.51798,140.959,5.28605,144.485
17,20210830,18,5.54879,139.122,5.33834,138.545,5.64204,138.871,5.75142,137.659,5.47403,140.197,5.74389,137.221,5.54504,136.845,5.61089,139.482,5.31248,140.401
18,20210830,19,5.34392,136.044,5.11704,135.102,5.47161,136.2,5.61983,134.041,5.20414,137.523,5.61867,133.972,5.43018,133.044,5.39455,137.545,5.03526,137.353
19,20210830,20,5.27559,131.537,4.93759,130.726,5.50058,132.149,5.68655,129.762,5.01051,133.72,5.69636,129.581,5.3827,129.328,5.31827,134.445,4.78893,133.223
