,DATA,HORA,Barreto,Pto N,Pto S,Pto E,Pto W,Pto SE,Pto NE,Pto SW,Pto NW
0,20210830,1,20.9356,20.955,20.9129,20.9311,20.9385,20.9081,20.9507,20.9161,20.9575
1,20210830,2,20.9218,21.0417,20.6646,20.4794,21.1672,20.3337,20.6349,20.8463,21.2794
2,20210830,3,20.5746,20.6816,20.3436,20.2041,20.7682,20.0974,20.3233,20.4597,20.8825
3,20210830,4,20.3499,20.4505,20.0968,19.9883,20.607,19.8503,20.0772,20.291,20.7328
4,20210830,5,20.3361,20.438,20.0883,19.8929,20.5774,19.6957,20.0229,20.2436,20.675
5,20210830,6,20.019,20.28,19.7203,19.5342,20.2415,19.3029,19.8779,19.9362,20.5014
6,20210830,7,20.0978,20.2043,19.8431,19.6624,20.3276,19.4474,19.7947,19.9829,20.4547
7,20210830,8,20.1241,20.3351,19.8612,19.7534,20.2304,19.6266,19.9633,19.9739,20.4145
8,20210830,9,20.3222,20.2942,20.0583,19.9208,20.4882,19.779,19.9514,20.197,20.4618
9,20210830,10,19.7115,19.6619,19.6503,19.3081,19.9104,19.3871,19.2773,19.7898,19.8516
10,20210830,11,19.5498,19.5574,19.5753,19.114,19.7899,19.2481,19.1886,19.7405,19.7251
11,20210830,12,20.592,20.5782,20.5949,20.2466,20.7545,20.3193,20.2726,20.6946,20.7278
12,20210830,13,21.862,21.9069,21.7699,21.4893,22.0514,21.4895,21.5925,21.8784,22.0518
13,20210830,14,22.7537,22.9761,22.3278,22.6122,22.7919,22.4339,22.7708,22.3529,23.1026
14,20210830,15,22.8854,23.1155,22.5573,22.5552,23.0778,22.3474,22.8338,22.7213,23.1551
15,20210830,16,23.2486,23.4424,22.9884,22.8365,23.3725,22.8002,23.048,23.0131,23.3351
16,20210830,17,23.4166,23.6276,23.2074,23.035,23.5786,22.9618,23.2739,23.2967,23.7545
17,20210830,18,23.3853,23.5989,23.1862,23.011,23.5555,22.9348,23.2477,23.2727,23.7534
18,20210830,19,23.057,23.2449,22.8752,22.6693,23.2292,22.6212,22.8758,22.9543,23.4128
19,20210830,20,22.4698,22.636,22.3285,22.0756,22.6674,22.058,22.2667,22.4156,22.8193
20,20210830,21,21.7222,21.8234,21.5832,21.2833,21.9413,21.2544,21.4095,21.6956,22.0632
21,20210830,22,21.0459,21.1892,20.9889,20.6039,21.3851,20.6374,20.7392,21.1809,21.4791
22,20210830,23,20.6027,20.6642,20.6521,20.1911,20.8363,20.3362,20.2504,20.8294,20.8788
23,20210830,24,20.4024,20.4867,20.409,19.9538,20.7937,20.08,20.0429,20.6848,20.7605
24,20210830,25,20.2606,20.3466,20.2056,19.8095,20.5217,19.8658,19.9317,20.3866,20.5891
25,20210830,26,20.0204,20.1295,19.9424,19.6241,20.2463,19.6304,19.7589,20.1244,20.3324
26,20210830,27,19.9397,20.0247,19.7357,19.485,20.1544,19.4625,19.5582,19.8821,20.2602
27,20210830,28,19.9155,19.9433,19.883,19.5331,20.0995,19.6617,19.6106,19.9733,20.1006
28,20210830,29,19.6874,19.7682,19.6547,19.2452,19.9359,19.331,19.3709,19.8238,19.9837
29,20210830,30,19.8056,19.8699,19.7672,19.4131,20.0019,19.4763,19.5355,20.0694,19.9748
30,20210830,31,19.6232,19.7297,19.6075,19.2121,19.847,19.3618,19.3802,19.7567,19.9139
31,20210830,32,19.7018,19.7611,19.618,19.3421,19.9041,19.3642,19.4409,19.7717,19.9346
32,20210830,33,19.7918,19.6814,19.7309,19.3929,19.8522,19.4156,19.52,19.773,19.8325
33,20210830,34,19.5615,19.6208,19.4315,19.2055,19.6942,19.1622,19.3824,19.5448,19.752
34,20210830,35,19.0977,19.0857,19.4075,18.9282,19.1685,19.1422,18.896,19.5244,19.0702
35,20210830,36,20.2689,19.9919,20.3864,19.9792,20.3316,20.0955,19.8651,20.4095,20.1122
36,20210830,37,21.6141,21.502,21.678,21.2502,21.8184,21.4027,21.1476,21.7812,21.7168
37,20210830,38,22.0909,22.07,22.5304,21.5785,22.7816,21.8662,21.7905,22.749,22.5256
38,20210830,39,23.3148,22.9442,23.4435,23.1662,23.505,23.1673,23.1063,23.4149,22.6216
39,20210830,40,23.6298,23.5307,23.7133,23.4226,23.8887,23.455,23.3093,23.6945,23.6765
40,20210830,41,23.8257,23.9775,23.7188,23.4453,24.0688,23.4077,23.6485,23.8502,24.1952
41,20210830,42,23.5963,23.7473,23.4866,23.2022,23.8366,23.1727,23.3909,23.624,23.9775
42,20210830,43,23.1071,23.2601,23.0051,22.7058,23.3582,22.6776,22.896,23.1648,23.4929
43,20210830,44,22.5853,22.709,22.4821,22.1821,22.8241,22.174,22.3372,22.6296,22.9442
44,20210830,45,21.6239,21.7598,21.5236,21.2136,21.8721,21.204,21.3846,21.6805,21.9995
45,20210830,46,20.7564,20.9037,20.6326,20.3779,20.9854,20.3102,20.5474,20.8029,21.1171
46,20210830,47,20.375,20.4988,20.2846,19.9702,20.6243,19.9719,20.126,20.4601,20.7403
47,20210830,48,20.3414,20.4121,20.1585,19.9465,20.5648,19.8896,20.0373,20.2733,20.6452
