,DATA,HORA,Barreto,Pto N,Pto S,Pto E,Pto W,Pto SE,Pto NE,Pto SW,Pto NW
0,20210822,1,20.9753,20.9848,20.9629,20.9174,21.0324,20.908,20.924,21.0171,21.0446
1,20210822,2,21.0399,21.1452,21.076,20.5859,21.3185,20.735,20.7638,21.2486,21.3318
2,20210822,3,20.2867,20.3203,20.2941,19.8703,20.5432,19.9456,19.9565,20.4641,20.5276
3,20210822,4,20.0336,20.0197,19.6476,19.8889,20.1875,19.3376,19.896,19.9465,20.163
4,20210822,5,19.3806,19.5737,19.1561,19.2632,19.5629,18.9554,19.4351,19.4359,19.6985
5,20210822,6,19.484,19.6044,19.3877,19.2762,19.6045,19.1944,19.4617,19.4974,19.6646
6,20210822,7,19.2887,19.3784,19.2676,19.0613,19.4304,19.054,19.2401,19.3842,19.4208
7,20210822,8,19.1148,19.2561,19.0317,18.8737,19.2697,18.7823,19.1053,19.2316,19.3323
8,20210822,9,19.0008,19.2753,18.8976,18.9243,19.1325,18.687,19.3621,19.0857,19.199
9,20210822,10,18.899,18.9316,18.95,18.9874,18.8653,19.0486,18.9514,18.8653,18.8471
10,20210822,11,19.0329,19.0894,18.9585,19.0858,19.035,18.9428,19.1301,18.981,19.0726
11,20210822,12,20.6098,20.6791,20.5409,20.7505,20.5834,20.6674,20.742,20.4735,20.6445
12,20210822,13,22.9264,23.0087,23.052,23.1323,22.8216,23.2462,23.2439,22.9008,22.8075
13,20210822,14,25.3578,25.3674,25.4032,25.1815,25.319,25.3202,25.1988,25.2876,25.3581
14,20210822,15,28.003,28.1141,27.8424,27.7954,27.9002,27.7853,27.9443,27.6421,28.1489
15,20210822,16,29.32,29.5893,29.1063,29.4238,29.0209,29.4294,29.5031,28.7287,29.4458
16,20210822,17,29.1151,29.4025,28.9338,28.8649,29.1633,28.7768,29.1774,28.83,29.5392
17,20210822,18,29.5357,29.782,29.3051,29.1929,29.7769,29.0614,29.5109,29.493,29.9718
18,20210822,19,29.4669,29.7543,29.2556,29.0856,29.6925,28.9844,29.4402,29.4173,29.9344
19,20210822,20,29.4337,29.65,29.289,28.9371,29.6653,28.9573,29.2026,29.3981,29.8675
20,20210822,21,28.4185,28.7673,28.258,27.9888,28.6453,27.876,28.3291,28.4915,28.9494
21,20210822,22,27.4347,27.473,27.2479,26.9435,27.7644,26.8955,27.0211,27.4527,27.7973
22,20210822,23,25.5,25.3844,25.5363,24.9779,25.7914,25.1302,24.9545,25.7555,25.6854
23,20210822,24,25.1705,24.7089,25.1385,24.5096,25.438,24.5664,24.3167,25.3694,24.9298
24,20210822,25,24.8862,24.5509,24.8611,24.2707,25.1992,24.3721,24.0764,25.0976,24.7859
25,20210822,26,24.422,24.0896,24.2972,23.868,24.6729,23.8636,23.6617,24.4922,24.282
26,20210822,27,24.5615,24.1404,24.4418,24.0021,24.7457,23.9989,23.7255,24.5479,24.2718
27,20210822,28,24.1442,23.7629,24.1072,23.6709,24.2835,23.7557,23.3879,24.154,23.8759
28,20210822,29,23.9961,23.6462,23.6913,23.5797,23.7812,23.4828,23.3805,23.0264,23.7084
29,20210822,30,22.6384,22.4652,22.528,22.9793,22.5711,22.8864,22.9223,22.1597,22.5126
30,20210822,31,22.7314,22.5784,22.3484,22.3087,22.4652,22.1116,22.2632,21.9215,22.4101
31,20210822,32,22.4954,22.4688,21.762,22.164,22.3438,21.6536,22.1616,21.6251,22.3758
32,20210822,33,22.0574,22.1503,21.4929,21.7814,21.8633,21.4148,21.9581,21.3177,22.0335
33,20210822,34,21.5631,21.7864,21.0759,21.3115,21.5205,21.0441,21.5821,20.9818,21.9435
34,20210822,35,21.7932,22.1097,21.302,21.693,21.5596,21.2938,22.1043,21.2422,21.7209
35,20210822,36,23.3391,23.6606,22.9423,23.4207,23.2168,23.023,23.6916,22.9888,23.5085
36,20210822,37,25.2989,25.3928,25.2728,25.1773,25.3525,25.15,25.3841,25.3283,25.418
37,20210822,38,27.5543,27.6641,27.5072,27.3598,27.5849,27.3857,27.5062,27.4858,27.7039
38,20210822,39,29.3078,29.3209,29.3121,29.0193,29.3907,29.1097,29.1182,29.3409,29.18
39,20210822,40,30.4807,30.5443,30.499,30.2626,30.4987,30.3214,30.4296,30.5319,30.3258
40,20210822,41,31.4424,31.5092,31.4594,31.1576,31.528,31.2266,31.3354,31.509,31.4489
41,20210822,42,31.951,32.0634,31.9946,31.712,32.07,31.7897,31.9466,32.0097,32.0937
42,20210822,43,31.4229,31.933,31.0352,30.6824,32.2424,30.6541,30.935,31.803,32.3755
43,20210822,44,30.3195,30.6003,30.1703,29.7006,30.7916,29.6331,29.9037,30.5916,31.0477
44,20210822,45,29.126,29.6487,28.9282,28.5609,29.5151,28.3335,29.0628,29.3865,29.9323
45,20210822,46,27.6913,27.8448,27.5665,27.2072,28.1019,27.066,27.5483,27.9097,28.1118
46,20210822,47,27.9983,28.0471,27.3122,27.5093,28.2625,27.2527,27.5864,27.1765,28.3354
47,20210822,48,27.0167,26.3115,26.9635,26.4889,27.2023,26.5124,26.0704,27.1532,26.5273
