,Data,precipitacao_observada,Horario,Datetime,BoaVista_ws10,BoaVista_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_BoaVista,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_BoaVista,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
2021-08-04 11:00:00,2021-08-04,0.0,11:00:00,2021-08-04 11:00:00,2.22589,276.685,2.26742,273.703,2.21267,282.9,1.51797,273.435,2.40201,277.633,1.51488,284.674,1.57276,264.106,2.44476,281.609,2.56011,278.17,0.619871,1.28586,0.283348,2.39849,0.0518184,2.67139,2.38113,0.0343566,0.117603,17.3657,17.5761,17.3081,17.1996,17.5324,17.107,17.3702,17.5565,17.6758
2021-08-04 12:00:00,2021-08-04,0.0,12:00:00,2021-08-04 12:00:00,1.46021,274.673,1.58196,272.253,1.16034,259.885,1.39227,260.42,1.55057,281.716,1.48329,241.939,1.60534,272.914,1.29836,287.179,1.65687,274.205,0.0644355,0.0336394,0.166342,0.658772,0.00721931,1.17654,0.40825,0.0303273,0.00493956,18.0958,18.1242,18.0784,18.1506,18.2531,17.9257,18.2666,18.2159,18.3491
2021-08-04 13:00:00,2021-08-04,0.0,13:00:00,2021-08-04 13:00:00,0.688195,259.125,0.980152,274.362,0.948215,228.24,0.720147,264.856,0.626235,248.144,0.94897,240.12,1.10386,267.253,0.622768,212.191,0.845398,288.924,0.0605783,0.00655365,0.293118,0.0831728,0.0137978,0.371838,0.03407,0.0680966,0.00223875,18.6643,18.8669,18.885,18.4565,19.2201,18.3671,18.7154,18.9591,19.0571
2021-08-04 14:00:00,2021-08-04,0.0,14:00:00,2021-08-04 14:00:00,2.39663,199.077,2.21759,202.268,2.76552,196.495,2.41005,199.845,2.24205,187.779,2.81901,199.317,2.26267,201.001,2.59057,188.088,1.82723,194.776,0.0532985,0.00446272,0.284635,0.0622959,0.0137978,0.310975,0.00364447,0.0677795,0.00222921,19.7886,20.1781,19.6333,19.788,19.9218,19.4451,20.0858,19.7839,20.2151
2021-08-04 15:00:00,2021-08-04,0.0,15:00:00,2021-08-04 15:00:00,3.61157,198.723,3.67599,195.736,3.54973,202.31,3.71476,206.006,3.30626,196.485,3.75219,209.792,3.83276,200.89,3.24971,194.639,3.40485,201.138,0.0518107,0.00426149,0.232163,0.0603848,0.013371,0.261191,0.00355959,0.0492506,0.00221586,19.8533,20.2868,19.6978,19.8748,20.0904,19.62,20.1899,19.7825,20.465
2021-08-04 16:00:00,2021-08-04,0.0,16:00:00,2021-08-04 16:00:00,3.94771,197.518,3.81263,194.209,4.04544,201.794,3.81582,203.349,4.0235,191.811,3.81596,206.873,3.734,198.839,4.24596,195.296,3.8501,188.669,0.0,0.0,1.66893e-05,0.0,0.0,0.0,0.0,0.00029707,0.0,20.0262,20.3908,19.8292,20.0927,20.2199,19.8443,20.3838,19.9095,20.5045
2021-08-04 17:00:00,2021-08-04,0.0,17:00:00,2021-08-04 17:00:00,3.94069,195.974,3.84873,194.063,3.96863,197.713,3.70731,196.118,3.98504,191.169,3.71347,196.942,3.70319,195.017,4.09371,193.476,3.89161,188.72,0.0,0.0,1.66893e-05,0.0,0.0,0.0,0.0,0.00029707,0.0,20.0672,20.4398,19.9296,20.2405,20.1678,20.0155,20.5027,19.9011,20.4849
2021-08-04 18:00:00,2021-08-04,0.0,18:00:00,2021-08-04 18:00:00,4.04601,186.74,4.04246,186.748,3.97478,187.244,3.83693,185.97,4.13873,187.505,3.77389,187.722,3.89058,184.492,4.16501,187.208,4.14739,187.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1888,20.515,20.0659,20.254,20.2676,20.0116,20.5209,20.0771,20.4925
2021-08-04 19:00:00,2021-08-04,0.0,19:00:00,2021-08-04 19:00:00,3.78024,177.159,3.77828,176.388,3.74402,177.918,3.61258,179.081,3.87726,179.049,3.5939,180.032,3.656,178.161,3.95279,179.631,3.82893,178.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1988,20.4942,20.1084,20.2112,20.3572,20.0113,20.4333,20.1837,20.566
2021-08-04 20:00:00,2021-08-04,0.0,20:00:00,2021-08-04 20:00:00,3.42602,167.386,3.47402,165.822,3.31471,168.349,3.34892,167.043,3.69511,169.084,3.18803,168.428,3.4434,165.874,3.64855,168.204,3.71232,168.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.754,20.0232,19.6919,19.7383,19.935,19.5549,19.9457,19.8187,20.1128
