,Data,precipitacao_observada,Horario,Datetime,Barreto_ws10,Barreto_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_Barreto,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_Barreto,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
2021-08-04 11:00:00,2021-08-04,0.0,11:00:00,2021-08-04 11:00:00,1.89657,269.002,2.4119,279.696,1.57276,264.106,1.04518,245.579,2.55372,276.684,0.73762,251.752,1.65732,270.455,2.26742,273.703,2.94291,282.359,2.5338,3.00973,2.38113,4.11108,1.6074,7.01193,3.01176,1.28586,1.4206,17.4637,17.4287,17.3702,16.9228,17.7483,16.9485,17.008,17.5761,17.5846
2021-08-04 12:00:00,2021-08-04,0.0,12:00:00,2021-08-04 12:00:00,1.68321,263.666,1.74768,266.834,1.60534,272.914,1.83868,263.37,1.72006,263.067,1.6488,262.514,1.86998,266.447,1.58196,272.253,1.85763,266.258,0.224722,0.14613,0.40825,1.57735,0.017879,3.1311,0.71023,0.0336394,0.00938702,18.0486,18.12,18.2666,17.9206,18.3389,18.0857,18.009,18.1242,18.3935
2021-08-04 13:00:00,2021-08-04,0.0,13:00:00,2021-08-04 13:00:00,1.26929,276.673,1.65047,291.139,1.10386,267.253,1.24144,274.344,1.32105,272.62,1.14166,258.685,1.70146,283.374,0.980152,274.362,1.5702,296.084,0.0244665,0.0172496,0.03407,0.238025,0.000579834,0.315128,0.193275,0.00655365,5.14984e-05,18.774,18.6826,18.7154,18.2843,19.1967,18.4196,18.3104,18.8669,18.8509
2021-08-04 14:00:00,2021-08-04,0.0,14:00:00,2021-08-04 14:00:00,1.12764,224.264,1.24439,298.761,2.26267,201.001,2.02532,209.528,0.84553,226.493,2.50226,202.857,1.38418,254.97,2.21759,202.268,1.46114,325.647,7.77245e-05,0.000299931,0.00364447,0.01299,0.000341415,0.01122,0.00993919,0.00446272,2.90871e-05,19.9548,19.742,20.0858,19.6954,20.2013,19.6272,19.7102,20.1781,19.7345
2021-08-04 15:00:00,2021-08-04,0.0,15:00:00,2021-08-04 15:00:00,3.99419,197.919,4.17632,194.013,3.83276,200.89,4.12302,204.279,3.84405,195.993,3.89885,208.097,4.1646,202.142,3.67599,195.736,3.73038,194.148,0.0,0.000137806,0.00355959,0.00763226,0.000330448,0.0110531,0.00133896,0.00426149,0.000994205,20.3283,20.5253,20.1899,20.0311,20.5107,19.97,20.2735,20.2868,20.7581
2021-08-04 16:00:00,2021-08-04,0.0,16:00:00,2021-08-04 16:00:00,3.63591,195.705,3.48566,193.512,3.734,198.839,3.6083,200.763,3.71275,192.239,3.56103,203.802,3.57098,198.874,3.81263,194.209,3.57213,190.902,0.0,0.000138283,0.0,3.48091e-05,1.81198e-05,0.0,2.0504e-05,0.0,0.00101852,20.54,20.745,20.3838,20.2292,20.6795,20.1921,20.4538,20.3908,20.8308
2021-08-04 17:00:00,2021-08-04,0.0,17:00:00,2021-08-04 17:00:00,3.75686,194.858,3.76924,193.86,3.70319,195.017,3.60627,193.472,3.83403,192.646,3.48994,191.91,3.66208,195.283,3.84873,194.063,3.84529,190.468,0.0,0.00012064,0.0,0.0,0.0,0.0,0.0,0.0,0.00100994,20.6479,20.8391,20.5027,20.4458,20.7157,20.4049,20.6535,20.4398,20.9148
2021-08-04 18:00:00,2021-08-04,0.0,18:00:00,2021-08-04 18:00:00,3.93525,185.132,3.89691,186.61,3.89058,184.492,3.85447,183.403,4.03565,188.068,3.74197,183.21,3.83917,184.843,4.04246,186.748,4.04945,188.921,0.0,1.09673e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.43187e-05,20.6653,20.8498,20.5209,20.376,20.7346,20.3147,20.6059,20.515,20.8703
2021-08-04 19:00:00,2021-08-04,0.0,19:00:00,2021-08-04 19:00:00,3.721,178.62,3.72283,179.529,3.656,178.161,3.64815,178.483,3.79031,176.411,3.52786,177.649,3.65151,180.228,3.77828,176.388,3.8176,176.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5415,20.6939,20.4333,20.2253,20.705,20.2158,20.4174,20.4942,20.8258
2021-08-04 20:00:00,2021-08-04,0.0,20:00:00,2021-08-04 20:00:00,3.50999,165.98,3.53617,166.251,3.4434,165.874,3.47858,166.06,3.52857,164.692,3.34456,166.185,3.52649,166.424,3.47402,165.822,3.59624,164.926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0378,20.1788,19.9457,19.7089,20.2139,19.7166,19.896,20.0232,20.3133
