,Lat,lon,estação,cidade,data,chuva 15m,chuva 1h,chuva 4h,chuva 24h,chuva 96h,chuva 30d,atual ou atrasado,fonte do dado
125,-22.933416930265047,-43.11481475230219,Jurujuba,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.2,23.8,24.2,atual,Defesa Civil Niteroi
126,-22.91361200000001,-43.072442,Maceió,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,23.8,26.4,atual,Defesa Civil Niteroi
127,-22.936875,-43.03176,Maravista,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,18.0,30.2,atual,Defesa Civil Niteroi
128,-22.88195500000003,-43.031365,Maria Paula,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,17.4,33.6,atual,Defesa Civil Niteroi
129,-22.884696999999992,-43.12599699999997,Morro da Penha,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,14.6,23.2,atual,Defesa Civil Niteroi
130,-22.90558200000001,-43.12609199999999,Morro do Palácio,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,47.0,47.6,atual,Defesa Civil Niteroi
131,-22.89655800000001,-43.102017,Pé Pequeno,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,30.2,31.6,atual,Defesa Civil Niteroi
132,-22.953173517216324,-43.08194159730999,Piratininga,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,12.6,15.0,atual,Defesa Civil Niteroi
133,-22.953173517216324,-43.08194159730999,Piratininga 2,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,11.4,11.6,atual,Defesa Civil Niteroi
134,-22.89142,-42.997197,Rio do Ouro,Niterói,23/03/2022 19:30,0.0,0.0,0.0,0.0,22.8,32.6,atual,Defesa Civil Niteroi
135,-22.91650500000001,-43.09123,São Francisco 1,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,20.4,21.4,atual,Defesa Civil Niteroi
136,-22.897155000000005,-43.05958,Sapê,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,24.0,24.4,atual,Defesa Civil Niteroi
137,-22.86391725882606,-43.08125495311178,Tenente Jardim,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,16.8,20.2,atual,Defesa Civil Niteroi
138,-22.93444093816999,-43.0062389300875,Várzea das Moças,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,0.0,32.0,atual,Defesa Civil Niteroi
139,-22.89413000000003,-43.109463,Bairro de Fátima,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,16.4,18.2,atual,Defesa Civil Niteroi
140,-22.880417000000005,-43.076725,Bonfim 2,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,15.4,63.8,atual,Defesa Civil Niteroi
141,-22.87358300000003,-43.09178799999997,Coronel Leôncio,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,20.8,33.8,atual,Defesa Civil Niteroi
142,-22.906973,-43.071013,Igrejinha,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,20.6,24.8,atual,Defesa Civil Niteroi
143,-22.891437000000003,-43.085833,Morro do Bumba,Niterói,23/03/2022 19:30,0.0,0.0,0.0,0.0,32.0,34.6,atual,Defesa Civil Niteroi
144,-22.873048,-43.068902,Morro do Castro,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,1.2,7.8,atual,Defesa Civil Niteroi
145,-22.899628,-43.11845999999999,Morro do Estado,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,21.8,24.6,atual,Defesa Civil Niteroi
146,-22.934162,-43.10028499999999,Preventório,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,24.2,25.4,atual,Defesa Civil Niteroi
147,-22.876405000000005,-43.04637,Santa Bárbara 2,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,17.6,35.4,atual,Defesa Civil Niteroi
148,-22.902903,-43.08673799999999,Travessa Beltrão,Niterói,23/03/2022 19:45,0.0,0.0,0.0,0.0,30.8,32.6,atual,Defesa Civil Niteroi
149,-22.86396,-43.09919,Barreto 1,Niterói,23/03/2022 19:45,0.0,0.0.1,0.0.2,0.0.3,16.4,18.6,atual,Defesa Civil Niteroi
150,-22.885602,-43.10485999999999,Boa Vista,Niterói,23/03/2022 20:00,0.0,0.0,0.0,0.0,11.0,12.0,atual,Defesa Civil Niteroi
151,-22.88261000000001,-43.06575,Caramujo,Niterói,23/03/2022 20:00,0.0,0.0,0.0,0.0,15.2,25.0,atual,Defesa Civil Niteroi
152,-22.912318000000013,-43.10239199999999,Cavalão,Niterói,23/03/2022 20:00,0.0,0.0,0.0,0.0,26.8,28.0,atual,Defesa Civil Niteroi
153,-22.93444093816999,-43.0062389300875,Engenho do Mato,Niterói,23/03/2022 20:00,0.0,0.0,0.0,0.0,24.4,41.4,atual,Defesa Civil Niteroi
154,-22.93444093816999,-43.0062389300875,Itaipú,Niterói,23/03/2022 20:00,0.0,0.0,0.0,0.0,10.0,28.6,atual,Defesa Civil Niteroi
155,-22.933416930265047,-43.11481475230219,Jurujuba,Niterói,23/03/2022 20:00,0.0,0.0,0.0,0.2,23.8,24.2,atual,Defesa Civil Niteroi
156,-22.91361200000001,-43.072442,Maceió,Niterói,23/03/2022 20:00,0.0,0.0,0.0,0.0,23.8,26.4,atual,Defesa Civil Niteroi
157,-22.936875,-43.03176,Maravista,Niterói,23/03/2022 20:00,0.0,0.0,0.0,0.0,18.0,30.2,atual,Defesa Civil Niteroi
