,index,Data,Horario,precipitacao_observada,Barreto_ws10,Barreto_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_Barreto,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_Barreto,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW,DataHora
5752,133,2021-01-22,1000 UTC,0.0,0.649396,1.02713,0.714326,28.6731,0.493179,325.441,0.601957,19.7997,0.679034,0.783325,0.366311,329.111,0.8764629999999999,43.6268,0.6520060000000001,355.565,0.600771,11.8038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7225,24.6728,24.6679,24.5452,24.7663,24.587,24.4614,24.6891,24.6701,2021-01-22 10:00:00+00:00
9668,152,2021-01-23,2200 UTC,0.0,6.00149,76.2982,5.84839,77.2061,6.23027,77.2823,5.846430000000002,77.1378,6.00896,75.3531,6.2324,78.2466,5.69644,78.2967,6.13565,75.6933,5.8581,75.8194,0.0543679999999999,0.0433989,0.045063,0.00425196,0.0639534,0.00335979,0.00357008,0.0602894,0.0496464,26.3841,26.5596,26.4797,25.9102,26.7123,26.1234,26.1175,26.6542,26.8686,2021-01-23 22:00:00+00:00
217,153,2021-01-23,1300 UTC,0.0,1.45918,70.9739,1.35618,64.7733,1.42703,68.2514,1.69862,69.0515,1.1649,62.7927,1.72572,70.2938,1.51479,61.7909,1.36939,71.7375,0.769347,9.98804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2238,29.4096,29.166,28.8429,29.4914,28.9309,28.9986,29.2948,29.4184,2021-01-23 13:00:00+00:00
62,154,2021-01-23,1900 UTC,0.0,1.88437,243.387,1.86527,249.463,1.8029,242.451,1.80372,254.043,2.08394,233.568,1.74521,257.332,1.77931,250.974,1.90461,232.482,2.07801,241.622,8.0616,14.4608,4.76896,3.80155,14.212,1.9766,6.21991,7.81969,26.3744,26.6227,26.5259,26.8901,26.2913,26.7545,26.6476,26.366,26.7279,26.5205,2021-01-23 19:00:00+00:00
3712,155,2021-01-23,1200 UTC,0.2,1.91347,50.3698,1.89383,52.765,1.91838,50.9076,2.05178,55.2416,1.73994,46.2467,2.07478,56.0742,1.9304,53.1733,1.96544,49.1142,1.33809,27.1617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9447,28.0089,27.9027,27.54,28.1779,27.6053,27.6714,28.0181,28.1104,2021-01-23 12:00:00+00:00
38,156,2021-01-23,1100 UTC,0.0,3.26064,70.8128,3.07833,71.9595,3.36496,69.5178,3.50487,70.4935,3.1628,71.2847,3.50616,68.6285,3.28312,71.9061,3.33039,70.3392,3.04325,72.1263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5371,26.6393,26.4773,26.0865,26.828000000000007,26.1445,26.2481,26.6634,26.8767,2021-01-23 11:00:00+00:00
1635,157,2021-01-23,1000 UTC,0.0,4.84044,72.4961,4.54146,74.6227,4.84316,72.4214,4.99212,73.6194,4.5448,71.3937,4.97168,72.2864,4.61191,76.5817,4.54715,72.0895,4.44835,73.0787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9482,25.0072,24.94,24.4892,25.2344,24.6071,24.6224,25.1206,25.2418,2021-01-23 10:00:00+00:00
1489,158,2021-01-23,0100 UTC,0.0,3.93997,68.5925,3.91914,66.889,3.65531,70.7577,4.53525,71.3011,3.35556,66.7287,4.41175,73.5435,4.29394,70.0338,3.00213,67.8942,3.48334,64.6326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1595,26.2999,26.1161,25.6816,26.4812,25.8227,25.8588,26.3169,26.5911,2021-01-23 01:00:00+00:00
1828,455,2021-02-04,1100 UTC,0.0,0.980184,243.251,1.05272,252.774,0.8894719999999999,251.631,1.08597,237.99400000000003,1.02331,252.8,0.954074,246.404,1.16802,239.104,1.00101,255.405,1.1175700000000002,266.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0168,27.9115,28.0639,27.7526,28.0861,27.8669,27.7939,28.0831,27.8127,2021-02-04 11:00:00+00:00
371,456,2021-02-05,1400 UTC,0.0,3.2985,311.316,3.6871,314.271,3.40999,302.597,3.61004,308.409,3.1075,309.497,3.50674,302.744,3.88358,306.063,3.50535,301.902,3.32791,321.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8726,33.8202,33.9919,33.5175,34.0731,33.7206,33.6005,34.0945,33.8071,2021-02-05 14:00:00+00:00
