,DATA,HORA,Barreto,Pto N,Pto S,Pto E,Pto W,Pto SE,Pto NE,Pto SW,Pto NW
0,20210914,1,25.0342,25.1553,24.9091,24.9752,25.0922,24.8499,25.0964,24.9673,25.213
1,20210914,2,25.5603,25.557,25.5321,25.3512,25.3741,25.5034,25.3577,25.3118,25.3358
2,20210914,3,25.5916,25.5922,25.3363,25.6815,25.5033,25.3064,25.6731,25.3726,25.4945
3,20210914,4,24.4843,24.8843,24.2852,25.1505,24.6605,24.4883,25.2585,24.4628,24.6441
4,20210914,5,24.7209,24.5211,24.6911,25.5778,24.2116,25.1485,25.7559,24.0417,24.4405
5,20210914,6,24.0859,24.088,24.054,25.4333,24.2068,25.1373,25.3185,24.0676,24.3908
6,20210914,7,25.4546,25.3152,25.1787,25.8342,24.4507,25.6058,25.6414,24.2619,24.2889
7,20210914,8,25.5089,25.3692,25.357,25.6405,25.1669,25.4402,25.5482,25.3531,24.9344
8,20210914,9,25.5348,25.4868,25.0753,25.3402,25.3214,25.0377,25.2745,24.9469,24.5842
9,20210914,10,24.6707,24.307,24.4684,24.9315,24.5812,24.5801,24.7291,24.3548,24.0927
10,20210914,11,26.0249,25.8181,25.3768,26.3731,25.4594,25.7325,26.425,25.0732,25.3277
11,20210914,12,28.4958,28.5923,28.0332,28.6838,28.2305,28.2661,28.8019,27.8518,28.1524
12,20210914,13,31.4594,31.4527,31.4322,31.6332,31.2862,31.5409,31.6519,31.261,31.2536
13,20210914,14,34.0622,34.071,34.0616,34.053,33.9077,34.0995,34.1051,33.873,33.9243
14,20210914,15,35.8372,35.8675,35.9879,35.6917,35.8094,35.8997,35.75,36.0247,35.5685
15,20210914,16,37.9179,38.0094,37.8697,37.7234,37.8372,37.7635,37.8391,37.8223,37.6844
16,20210914,17,38.7762,38.8639,38.7191,38.5078,38.7814,38.5651,38.6112,38.6949,38.7489
17,20210914,18,39.2344,39.3294,39.1544,38.9709,39.2313,39.0113,39.0784,39.1233,39.2209
18,20210914,19,39.407,39.5013,39.3494,39.1699,39.4295,39.1834,39.2895,39.3664,39.3948
19,20210914,20,39.0964,38.9582,39.1016,38.9643,38.7485,39.0659,39.0159,38.5779,38.679
20,20210914,21,36.6393,36.9462,36.3018,35.9808,36.9455,35.7353,36.2174,36.6034,37.3755
21,20210914,22,34.3745,34.8375,33.7916,34.1283,34.4491,33.4997,34.5877,34.1596,34.8187
22,20210914,23,34.3687,34.2997,34.0168,33.8931,34.5554,33.6794,33.8617,34.1407,34.5159
23,20210914,24,33.08,32.5048,33.3358,32.7058,33.149,32.9853,32.2158,33.357,32.5959
24,20210914,25,32.3797,31.9858,32.3204,31.9708,32.4717,31.9745,31.6934,32.3959,32.0569
25,20210914,26,32.5542,32.169,32.6811,32.1864,32.6229,32.3185,31.8745,32.7742,32.2382
26,20210914,27,32.2937,31.939,32.4255,31.8432,32.467,31.971,31.5864,32.5899,32.0748
27,20210914,28,32.2131,31.9043,32.3854,31.9344,32.229,32.2075,31.6464,32.3237,31.9339
28,20210914,29,31.7893,31.531,31.8259,31.5596,31.7027,31.658,31.3057,31.6594,31.4738
29,20210914,30,25.4146,25.7161,25.3066,25.1106,25.7007,24.9986,25.8529,25.714,25.7688
30,20210914,31,24.8375,25.1478,24.5379,24.3084,25.2921,24.0646,24.7097,24.9568,25.5428
31,20210914,32,23.4053,23.7007,23.1422,22.9729,23.9816,22.7868,23.3294,23.6524,24.2259
32,20210914,33,22.9915,23.2227,22.8028,22.6372,23.3136,22.5123,23.0437,23.1846,23.5924
33,20210914,34,22.8165,23.0069,22.6288,22.3775,23.3454,22.2564,22.6899,23.1162,23.5331
34,20210914,35,23.417,23.6711,23.1902,23.0648,23.7395,22.9471,23.3889,23.4252,23.9888
35,20210914,36,24.896,25.0911,24.6299,24.4266,25.2818,24.2853,24.7256,24.9715,25.3993
36,20210914,37,25.5096,25.9634,25.086,25.1876,25.804,24.8931,25.6846,25.2823,26.2233
37,20210914,38,26.2961,26.8801,25.7748,26.1059,26.4535,25.7097,26.7273,25.8541,26.9988
38,20210914,39,27.4021,27.9113,26.8322,27.1891,27.5442,26.801,27.7054,26.8614,28.0426
39,20210914,40,26.8679,27.4118,26.3614,26.7113,26.9731,26.3605,27.2746,26.374,27.5977
40,20210914,41,26.6751,27.1399,26.2397,26.3935,26.9404,26.1229,26.862,26.3668,27.4685
41,20210914,42,25.2893,25.722,24.896,25.0721,25.4594,24.8362,25.5034,24.9623,25.9391
42,20210914,43,24.7564,25.0863,24.4738,24.4192,25.0342,24.2715,24.744,24.6395,25.3978
43,20210914,44,24.4927,24.773,24.2643,24.1146,24.7545,24.0154,24.392,24.4272,25.046
44,20210914,45,24.063,24.2757,23.89,23.6542,24.29,23.5877,23.8815,24.0307,24.4828
45,20210914,46,23.3051,23.4975,23.1474,22.8914,23.5388,22.8354,23.1048,23.2931,23.7029
46,20210914,47,23.207,23.3997,23.044,22.7648,23.4576,22.7189,22.9762,23.2002,23.6112
47,20210914,48,23.0396,23.2145,22.9012,22.614,23.2659,22.5767,22.8129,23.0378,23.4079
