,data,chuva 1h
4356,2022-03-29 18:00:00,0.0
4386,2022-03-29 19:00:00,0.0
4416,2022-03-29 20:00:00,0.0
4447,2022-03-29 21:00:00,0.0
4476,2022-03-29 22:00:00,0.0
4506,2022-03-29 23:00:00,0.0
4536,2022-03-30 00:00:00,0.0
4566,2022-03-30 01:00:00,0.0
4596,2022-03-30 02:00:00,0.0
4626,2022-03-30 03:00:00,0.0
4656,2022-03-30 04:00:00,0.0
4686,2022-03-30 05:00:00,0.0
4716,2022-03-30 06:00:00,0.0
4746,2022-03-30 07:00:00,0.0
4776,2022-03-30 08:00:00,0.0
4806,2022-03-30 09:00:00,0.0
4837,2022-03-30 10:00:00,0.0
4867,2022-03-30 11:00:00,0.0
4896,2022-03-30 12:00:00,0.0
4926,2022-03-30 13:00:00,0.0
4956,2022-03-30 14:00:00,0.0
4986,2022-03-30 15:00:00,0.0
5016,2022-03-30 16:00:00,0.0
5046,2022-03-30 17:00:00,0.0
5076,2022-03-30 18:00:00,0.0
5106,2022-03-30 19:00:00,0.0
5136,2022-03-30 20:00:00,0.0
5166,2022-03-30 21:00:00,0.0
5196,2022-03-30 22:00:00,0.0
5226,2022-03-30 23:00:00,0.0
5256,2022-03-31 00:00:00,0.0
5286,2022-03-31 01:00:00,0.0
5316,2022-03-31 02:00:00,0.0
5346,2022-03-31 03:00:00,0.0
5376,2022-03-31 04:00:00,0.0
5406,2022-03-31 05:00:00,0.0
5437,2022-03-31 06:00:00,0.0
5466,2022-03-31 07:00:00,0.0
5498,2022-03-31 08:00:00,0.0
5535,2022-03-31 09:00:00,0.2
5560,2022-03-31 10:00:00,0.0
5586,2022-03-31 11:00:00,0.0
5616,2022-03-31 12:00:00,0.0
5647,2022-03-31 13:00:00,0.0
5676,2022-03-31 14:00:00,0.0
5706,2022-03-31 15:00:00,0.0
5736,2022-03-31 16:00:00,0.0
5766,2022-03-31 17:00:00,0.0
5796,2022-03-31 18:00:00,0.0
5826,2022-03-31 19:00:00,0.0
5856,2022-03-31 20:00:00,0.0
5886,2022-03-31 21:00:00,0.0
5917,2022-03-31 22:00:00,0.0
5946,2022-03-31 23:00:00,0.0
5977,2022-04-01 00:00:00,0.0
6013,2022-04-01 01:00:00,0.0
6053,2022-04-01 02:00:00,58.0
6055,2022-04-01 03:00:00,46.2
6088,2022-04-01 04:00:00,14.4
6139,2022-04-01 05:00:00,0.0
6158,2022-04-01 06:00:00,0.0
6189,2022-04-01 07:00:00,0.0
6218,2022-04-01 08:00:00,0.0
6236,2022-04-01 09:00:00,0.2
6276,2022-04-01 10:00:00,0.0
6310,2022-04-01 11:00:00,0.0
6337,2022-04-01 12:00:00,0.0
6367,2022-04-01 13:00:00,0.0
6398,2022-04-01 14:00:00,0.0
6426,2022-04-01 15:00:00,0.0
6457,2022-04-01 16:00:00,0.0
6486,2022-04-01 17:00:00,0.0
6517,2022-04-01 18:00:00,0.0
6534,2022-04-01 19:00:00,0.6
6579,2022-04-01 20:00:00,0.0
6598,2022-04-01 21:00:00,0.4
6633,2022-04-01 22:00:00,0.2
6660,2022-04-01 23:00:00,0.4
6712,2022-04-02 00:00:00,8.2
6722,2022-04-02 01:00:00,5.4
6758,2022-04-02 02:00:00,2.8
6779,2022-04-02 03:00:00,0.8
6823,2022-04-02 04:00:00,2.0
6842,2022-04-02 05:00:00,0.8
6864,2022-04-02 06:00:00,2.6
6894,2022-04-02 07:00:00,0.6
6936,2022-04-02 08:00:00,0.2
6969,2022-04-02 09:00:00,0.0
6996,2022-04-02 10:00:00,0.0
7019,2022-04-02 11:00:00,0.2
7055,2022-04-02 12:00:00,0.0
7085,2022-04-02 13:00:00,0.0
7132,2022-04-02 14:00:00,0.2
7145,2022-04-02 15:00:00,0.0
7175,2022-04-02 16:00:00,0.0
7205,2022-04-02 17:00:00,0.0
7235,2022-04-02 18:00:00,0.0
7265,2022-04-02 19:00:00,0.0
7296,2022-04-02 20:00:00,0.0
7323,2022-04-02 21:00:00,0.4
7360,2022-04-02 22:00:00,0.0
7383,2022-04-02 23:00:00,0.0
7413,2022-04-03 00:00:00,0.0
7444,2022-04-03 01:00:00,0.0
7474,2022-04-03 02:00:00,0.0
7503,2022-04-03 03:00:00,0.0
7533,2022-04-03 04:00:00,0.0
7563,2022-04-03 05:00:00,0.0
7597,2022-04-03 06:00:00,0.0
7624,2022-04-03 07:00:00,0.0
7653,2022-04-03 08:00:00,0.0
7683,2022-04-03 09:00:00,0.0
7704,2022-04-03 10:00:00,0.2
7732,2022-04-03 11:00:00,0.2
7774,2022-04-03 12:00:00,0.0
7804,2022-04-03 13:00:00,0.0
7822,2022-04-03 14:00:00,0.2
7864,2022-04-03 15:00:00,0.0
7893,2022-04-03 16:00:00,0.0
7923,2022-04-03 17:00:00,0.0
7953,2022-04-03 18:00:00,0.0
7984,2022-04-03 19:00:00,0.0
8012,2022-04-03 20:00:00,0.0
8043,2022-04-03 21:00:00,0.0
8073,2022-04-03 22:00:00,0.0
8102,2022-04-03 23:00:00,0.0
8133,2022-04-04 00:00:00,0.0
8162,2022-04-04 01:00:00,0.0
8192,2022-04-04 02:00:00,0.0
8222,2022-04-04 03:00:00,0.0
8252,2022-04-04 04:00:00,0.0
8282,2022-04-04 05:00:00,0.0
8312,2022-04-04 06:00:00,0.0
8342,2022-04-04 07:00:00,0.0
