,DATA,HORA,Barreto,Pto N,Pto S,Pto E,Pto W,Pto SE,Pto NE,Pto SW,Pto NW
0,20210813,1,20.0191,20.0133,20.0222,20.0365,20.0,20.0404,20.03,20.0024,19.9949
1,20210813,2,19.5629,19.6379,19.4285,19.2125,19.8063,19.1825,19.3128,19.5494,19.9189
2,20210813,3,19.7436,19.8136,19.6685,19.4198,19.9266,19.4499,19.5149,19.7442,19.9848
3,20210813,4,19.7143,19.8354,19.6477,19.3745,19.9094,19.4076,19.5194,19.7487,20.0138
4,20210813,5,19.6205,19.7291,19.5612,19.2762,19.8137,19.3021,19.4109,19.6799,19.9082
5,20210813,6,19.516,19.6315,19.4513,19.1707,19.6993,19.1968,19.325,19.5641,19.7935
6,20210813,7,19.4745,19.5894,19.3863,19.1154,19.6674,19.1364,19.261,19.5029,19.7799
7,20210813,8,19.5027,19.627,19.4112,19.0574,19.7136,19.1041,19.2819,19.5411,19.8256
8,20210813,9,19.5039,19.5997,19.4378,19.028,19.7537,19.105,19.1913,19.5841,19.8254
9,20210813,10,19.5941,19.6297,19.3318,19.1806,19.8305,19.2085,19.2394,19.5746,19.8611
10,20210813,11,19.5421,19.5903,19.4302,19.1318,19.7953,19.0954,19.2181,19.5981,19.8296
11,20210813,12,20.0952,20.0677,20.168,19.836,20.1628,19.8719,19.9488,20.0359,20.1747
12,20210813,13,20.8854,20.9312,20.8151,20.8259,20.9091,20.829,20.9424,20.7289,20.9264
13,20210813,14,21.9815,22.1209,21.8205,21.6301,21.9253,21.5494,21.7974,21.6159,22.0987
14,20210813,15,22.8937,23.0706,22.3503,22.5024,23.0897,22.19,22.7335,22.3673,23.2457
15,20210813,16,23.463,23.8353,23.1364,23.1111,23.6345,22.8398,23.5325,23.2222,23.9231
16,20210813,17,22.9413,23.1048,22.6981,22.4147,22.6128,22.4422,22.5949,22.3784,22.815
17,20210813,18,22.842,22.9583,22.5399,22.4298,22.9258,22.3635,22.4156,22.6136,23.2311
18,20210813,19,22.1564,22.3608,21.913,21.934,22.0502,21.9064,22.1127,21.8011,22.2775
19,20210813,20,21.3646,21.6191,21.1403,21.1781,21.4491,21.0181,21.5796,21.1753,21.7192
20,20210813,21,20.6952,20.8595,20.5363,20.4531,20.8351,20.3518,20.6504,20.6004,21.0236
21,20210813,22,20.2417,20.3031,20.1117,19.8509,20.4292,19.8224,20.0214,20.2035,20.5759
22,20210813,23,19.9092,20.0621,19.7901,19.5175,20.0948,19.4793,19.7755,19.9007,20.2562
23,20210813,24,19.7809,19.9277,19.6294,19.4297,19.9615,19.3798,19.619,19.733,20.1194
24,20210813,25,19.6356,19.772,19.5168,19.2033,19.8179,19.1907,19.3811,19.6159,19.9622
25,20210813,26,19.5448,19.6671,19.4238,19.2287,19.7344,19.2631,19.3512,19.5048,19.9158
26,20210813,27,19.5164,19.6256,19.4069,19.0956,19.7456,19.0895,19.222,19.5195,19.8541
27,20210813,28,19.5271,19.6465,19.3907,19.1526,19.728,19.1419,19.3073,19.4831,19.8556
28,20210813,29,19.5049,19.5897,19.4398,19.1295,19.8417,19.1438,19.2722,19.6369,19.9301
29,20210813,30,19.5149,19.6198,19.3912,19.1507,19.7233,19.1442,19.2763,19.5038,19.8295
30,20210813,31,19.5643,19.6319,19.3191,19.1971,19.5392,19.2184,19.3111,19.3129,19.7777
31,20210813,32,19.5828,19.6221,19.3954,19.2005,19.6704,19.2012,19.2044,19.4702,19.804
32,20210813,33,19.2564,19.391,18.907,19.0516,19.4722,18.8433,19.0778,19.2263,19.5776
33,20210813,34,18.9987,19.3074,18.8575,18.8387,19.4671,18.7922,18.9607,19.2387,19.5546
34,20210813,35,19.4666,19.6662,19.3177,19.2366,19.6508,19.1868,19.3481,19.4946,19.7705
35,20210813,36,19.6699,19.8127,19.5586,19.4259,19.8166,19.4432,19.5659,19.6171,19.8802
36,20210813,37,20.9709,20.8407,20.6455,20.6501,20.8273,20.7166,20.6973,20.5457,20.8516
37,20210813,38,21.5657,21.3065,21.2393,21.0952,21.4545,21.2531,21.0291,21.0445,21.5537
38,20210813,39,22.5752,22.6541,22.3531,22.3218,22.5219,22.4035,22.4014,22.1887,22.7193
39,20210813,40,23.2436,23.4795,22.868,23.0229,23.2626,22.5747,23.3606,22.9619,23.4095
40,20210813,41,23.7375,23.9449,23.533,23.4059,23.79,23.3397,23.5765,23.5385,24.0906
41,20210813,42,23.8386,24.0385,23.6359,23.459,24.0099,23.3648,23.6879,23.7116,24.2269
42,20210813,43,23.6558,23.852,23.5053,23.2512,23.8716,23.1844,23.4907,23.6399,24.0765
43,20210813,44,22.9076,23.1194,22.7531,22.49,23.1443,22.4166,22.7313,22.9322,23.357
44,20210813,45,21.8547,22.0614,21.7333,21.4462,22.0936,21.4071,21.6786,21.9197,22.2963
45,20210813,46,21.0506,21.2272,20.9585,20.6375,21.2888,20.6324,20.8334,21.1459,21.4793
46,20210813,47,20.9423,21.1028,20.7706,20.5349,21.1714,20.4854,20.6904,20.9421,21.3549
47,20210813,48,20.9948,21.1031,20.726,20.591,21.2122,20.5355,20.7281,20.8537,21.3452
