,DATA,HORA,Barreto,Pto N,Pto S,Pto E,Pto W,Pto SE,Pto NE,Pto SW,Pto NW
0,20210906,1,22.5512,22.6072,22.4933,22.5418,22.5577,22.4829,22.5988,22.5009,22.6125
1,20210906,2,22.6905,22.8931,22.5925,22.2205,22.9785,22.1266,22.4927,22.8643,23.1113
2,20210906,3,22.1388,22.3305,21.8581,21.9268,22.1198,21.7675,22.1246,21.7672,22.3737
3,20210906,4,21.5238,21.6633,21.4218,21.1954,21.6628,21.1994,21.3693,21.4737,21.7615
4,20210906,5,21.2418,21.378,21.1489,20.8586,21.4511,20.834,21.0102,21.3038,21.541
5,20210906,6,21.1083,21.0933,21.0579,20.983,21.2785,20.862,21.0546,21.1823,21.2535
6,20210906,7,20.7725,20.8017,20.7587,20.4911,20.9359,20.5292,20.5656,20.8491,20.928
7,20210906,8,20.5953,20.6379,20.5358,20.3396,20.6918,20.3857,20.3952,20.5609,20.7163
8,20210906,9,20.4153,20.478,20.3473,20.1408,20.4999,20.1626,20.2405,20.3733,20.5196
9,20210906,10,20.3431,20.3921,20.2555,20.0618,20.4457,20.0569,20.1416,20.3218,20.4835
10,20210906,11,20.8627,20.9466,20.8591,20.5344,21.0631,20.5747,20.6707,20.9817,21.0907
11,20210906,12,21.8988,22.0839,21.868,21.6295,22.1443,21.7122,21.7885,22.0018,22.2404
12,20210906,13,22.7346,22.7792,22.4843,22.4557,22.7241,22.4447,22.5967,22.549,22.8073
13,20210906,14,23.5259,23.7548,23.2855,23.038,23.7525,22.9188,23.3236,23.4741,23.9709
14,20210906,15,24.1662,24.374,23.9508,23.8886,24.2238,23.7992,24.1421,23.9161,24.3922
15,20210906,16,24.5933,24.84,24.3639,24.3343,24.6616,24.2478,24.5911,24.3391,24.9338
16,20210906,17,24.855,25.1263,24.6058,24.6536,24.8944,24.555,24.9232,24.5391,25.1946
17,20210906,18,24.3022,24.5807,24.0412,24.1405,24.2923,24.0269,24.4078,23.9476,24.5991
18,20210906,19,23.6806,23.9161,23.4453,23.2543,23.8078,23.0645,23.5933,23.4875,24.0479
19,20210906,20,23.4927,23.6722,23.3404,23.1599,23.5673,23.0995,23.3891,23.3386,23.7348
20,20210906,21,22.7456,22.9301,22.5872,22.4262,22.8813,22.3739,22.6548,22.6378,23.0478
21,20210906,22,21.9174,22.0925,21.7791,21.6071,22.0956,21.5754,21.8189,21.8728,22.2429
22,20210906,23,21.5524,21.7004,21.4274,21.2428,21.7539,21.2932,21.3899,21.5752,21.8536
23,20210906,24,21.101,21.3308,20.9192,20.7537,21.3455,20.6888,20.9573,21.0233,21.5725
24,20210906,25,21.0991,21.2861,20.9162,20.8087,21.2931,20.7486,21.0128,21.0564,21.4411
25,20210906,26,21.36,21.4558,21.2608,21.1489,21.4042,21.1313,21.3098,21.2321,21.4806
26,20210906,27,20.9905,21.093,20.92,20.6155,21.2213,20.6571,20.7574,21.0729,21.271
27,20210906,28,20.7596,20.957,20.6485,20.3866,20.973,20.3272,20.553,20.8149,21.0725
28,20210906,29,20.6889,20.7509,20.6278,20.2915,20.8728,20.3389,20.3877,20.736,20.9106
29,20210906,30,20.7032,20.8201,20.5858,20.3553,20.8746,20.3561,20.4556,20.6831,20.9678
30,20210906,31,20.1868,20.2848,20.1625,19.7741,20.4987,19.8773,19.8759,20.3763,20.5875
31,20210906,32,19.9621,20.0883,19.7242,19.5679,20.1967,19.4241,19.6851,19.9145,20.3747
32,20210906,33,19.2691,19.4254,19.2335,19.0517,19.4859,18.9439,19.3388,19.5982,19.5614
33,20210906,34,19.6787,19.8315,19.5497,19.5217,19.6917,19.3976,19.7586,19.601,19.8335
34,20210906,35,20.37,20.511,20.0613,20.0078,20.4148,19.8144,20.2539,20.2519,20.4205
35,20210906,36,21.7467,21.6824,21.6873,21.6524,21.7319,21.7892,21.461,21.5815,21.7495
36,20210906,37,23.1773,23.157,23.2415,22.8781,23.2302,23.0411,22.8539,23.2381,23.0031
37,20210906,38,24.342,24.0624,24.2957,24.0357,24.2441,24.1257,24.0491,24.1489,23.5068
38,20210906,39,23.787,23.9896,23.6256,23.9291,23.8505,23.8676,23.9426,23.5647,24.2688
39,20210906,40,24.8561,25.1234,24.6931,24.576,25.0236,24.5196,24.9517,24.5801,25.2901
40,20210906,41,25.4148,25.3797,25.1815,25.0568,25.5034,25.0438,25.2252,25.064,25.5087
41,20210906,42,25.1154,25.289,24.9467,24.6623,25.3745,24.6306,24.886,25.057,25.56
42,20210906,43,24.5091,24.6704,24.4086,24.0414,24.8033,24.0346,24.2535,24.5912,24.8578
43,20210906,44,23.9346,24.1245,23.7927,23.5221,24.1815,23.4698,23.7505,23.9648,24.3444
44,20210906,45,23.1534,23.3672,22.9501,22.75,23.3812,22.663,22.9944,23.0923,23.5869
45,20210906,46,22.3685,22.581,22.129,21.9524,22.6146,21.8321,22.1934,22.2831,22.8242
46,20210906,47,22.0934,22.2771,21.8516,21.6801,22.3411,21.5515,21.8962,22.0007,22.5156
47,20210906,48,21.8245,21.8779,21.7304,21.4115,22.0746,21.4454,21.5034,21.8712,22.1012
